103642577,1272591,39,142
103634566,1259218,129,142
103609531,1265597,83,141
103650370,1278218,92,115
103609989,1256426,29,131
103640406,1274695,24,133
103604918,1249904,55,121
103630273,1267023,78,67
103650351,1272863,25,110
103608132,1252378,101,89
103636037,1280065,77,105
103636277,1267280,143,93
103638963,1270352,88,140
103626037,1258927,2,72
103645245,1256244,107,105
103638441,1262481,98,126
103627642,1281736,111,120
103607407,1256695,123,121
103612105,1279031,118,131
103630632,1278452,104,119
103629100,1270230,43,73
103623384,1281015,40,20
103657526,1279748,65,72
103615559,1258490,45,143
103650542,1245909,121,107
103619692,1244486,86,134
103635106,1269329,68,115
103657082,1267084,48,97
103626594,1268902,1,25
103618748,1277630,40,142
103640380,1262249,123,123
103645972,1247758,124,76
103622915,1250894,99,126
103622519,1267531,141,133
103601750,1255551,47,121
103602610,1275072,90,137
103651062,1281963,123,97
103619379,1276286,113,47
103607346,1264689,130,129
103631786,1243998,34,59
103658847,1280457,44,113
103619687,1264775,26,122
103609858,1248677,16,39
103621402,1264248,125,142
103613837,1278299,75,93
103602075,1280552,82,142
103653030,1240649,139,77
103637011,1272710,111,117
103624836,1259269,5,133
103657918,1250558,36,124
103649636,1266491,102,138
103613181,1272379,103,139
103647639,1252527,93,107
103619852,1247115,130,98
103642783,1255424,0,122
103660269,1270137,143,140
103604369,1264943,6,139
103661671,1269860,29,58
103637108,1277806,113,142
103607455,1239019,75,88
103649138,1255134,1,63
103651956,1242437,82,140
103603538,1264845,134,131
103655390,1242881,56,117
103636085,1256582,106,140
103641806,1243932,33,64
103623539,1261265,84,126
103661293,1238498,78,97
103635023,1263741,113,86
103635257,1270818,85,140
103650782,1272238,69,72
103615780,1273001,61,95
103615330,1254841,135,94
103617270,1258471,135,130
103638964,1240482,98,96
103646961,1277806,35,40
103647286,1280415,17,81
103639060,1266468,54,107
103654722,1243857,7,132
103638930,1258252,108,138
103607198,1250039,17,109
103603689,1265142,11,66
103637859,1265328,120,74
103628377,1242612,92,41
103646813,1282561,26,141
103643168,1264500,89,68
103659195,1257088,9,132
103621464,1255760,96,139
103618978,1248615,127,139
103655440,1239063,14,131
103635797,1243912,102,136
103637448,1266682,4,126
103620002,1241186,139,141
103619740,1265430,139,100
103631795,1243286,120,141
103648555,1260461,91,89
103613351,1262187,80,114
103615487,1263684,138,138
103634018,1260121,6,133
103638488,1272765,21,141
103637185,1283842,135,93
103652504,1239163,11,135
103601506,1264446,127,132
103632287,1246478,39,125
103603926,1244157,28,138
103626261,1254022,67,119
103607810,1275328,55,75
