103976664,1406426,49,26
103793204,1272079,122,51
103829701,1241512,28,137
103858240,1411700,56,139
104027342,1417136,139,131
103712370,1347969,43,120
103757605,1270071,8,96
103619031,1309968,14,111
103793860,1420199,12,81
103774160,1398025,61,133
103928878,1263417,74,101
103631559,1443326,91,56
103825775,1320208,2,26
103903634,1341030,1,118
103684163,1334415,108,133
103700369,1267170,119,138
103830795,1249392,23,140
103636375,1243172,69,53
103812086,1320697,63,66
103901089,1384384,91,101
103907691,1336020,79,126
103630438,1255486,23,44
103688004,1243361,136,92
103695490,1433229,58,113
103712902,1390749,36,134
103788755,1253119,50,128
103886218,1392093,27,99
103969171,1438983,4,78
103923820,1467330,123,92
103696525,1330681,40,101
103992073,1286252,26,141
103917355,1465471,64,51
103625780,1290445,21,130
103780725,1252004,70,93
103965347,1294448,34,108
104023716,1253766,80,61
103609932,1266948,105,129
104018524,1439091,28,62
103834805,1355885,122,137
103616444,1291488,5,77
103856583,1339292,99,129
103865119,1400880,59,110
103829604,1407608,58,55
103783056,1350554,89,82
103914425,1321741,56,125
103988812,1347127,89,141
103713505,1441026,92,134
103847857,1341764,1,136
103760653,1322432,96,125
104028779,1353062,10,126
103757485,1269370,133,122
103807127,1369277,49,139
103708860,1443661,109,137
103914150,1343016,41,142
103793569,1387160,131,118
104036417,1361326,119,90
103887913,1309395,121,134
103846417,1403544,132,51
103971508,1337000,121,127
103887954,1240885,86,73
103783774,1244970,25,107
104014388,1413779,5,81
103894926,1411279,115,112
103716066,1388546,24,116
103620569,1319266,46,115
103900628,1343965,110,127
103621170,1450849,125,15
103750312,1291811,109,142
103675437,1332296,63,83
103623800,1438096,78,94
103693188,1356150,12,79
103877144,1349453,77,19
103843837,1365808,45,96
103688373,1290337,49,113
103761206,1265356,58,86
103715236,1443174,86,79
104027627,1263532,17,77
103613775,1361445,110,108
103964117,1289303,120,115
103738478,1271273,126,114
103817363,1262023,74,141
104006946,1283350,53,144
103939790,1438485,139,141
103801783,1463779,12,126
103814096,1344218,120,141
103964332,1251932,4,66
103806492,1460917,103,141
103634391,1471262,64,93
103982763,1393495,50,123
103975568,1278406,50,76
103866369,1278105,121,144
103829465,1304111,89,103
103804725,1452638,82,96
103954004,1284602,13,62
103851452,1445617,77,65
103980138,1238704,115,134
103746644,1290970,18,141
103605301,1326422,50,125
103891909,1464047,49,142
103775755,1339195,73,130
